"id_2026","redizo","kkov","zamereni","typ","nazev","obec","stav","id_2025_potvrzene","overil","zdroj_overeni","poznamka"
"600004856_29-41-M/01_technologie_piva_vina_lihu_a_nealkoholickych_napoju","600004856","29-41-M/01","Technologie piva, vína, lihu a nealkoholických nápojů","SOS","SPŠ, SOŠ a G, Praha 2, Podskalská 10","Praha","kolize_katalogu","","","",""
"600004929_78-42-M/08_Lyceum_OA_Kubelikova","600004929","78-42-M/08","Lyceum OA Kubelíkova","LYC","Obchodní akademie","Praha","chybi_presna_shoda","","","",""
"600005321_64-41-L/51","600005321","64-41-L/51","","NAS","Metropolitní odbor. umělec. SŠ","Praha","chybi_presna_shoda","","","",""
"600004961_79-41-K/61_Vseobecne","600004961","79-41-K/61","Všeobecné","GY6","Gymnázium Na Pražačce","Praha","chybi_presna_shoda","","","",""
"600005381_39-41-L/01_Autoelektrikar_26_57_H_01","600005381","39-41-L/01","Autoelektrikář 26-57-H/01","SOU","Akademie řemesel Praha - SŠ technická","Praha","chybi_presna_shoda","","","",""
"600004694_79-41-K/41_Vzdelani_cesta_ke_svobode","600004694","79-41-K/41","Vzdělání - cesta ke svobodě","GY4","Gymnázium prof. Jana Patočky","Praha","chybi_presna_shoda","","","",""
"600004694_79-41-K/81_Vzdelani_cesta_ke_svobode","600004694","79-41-K/81","Vzdělání - cesta ke svobodě","GY8","Gymnázium prof. Jana Patočky","Praha","chybi_presna_shoda","","","",""
"600004902_68-43-M/01","600004902","68-43-M/01","","SOS","SOŠ sociální svaté Zdislavy","Praha","chybi_presna_shoda","","","",""
"600004856_29-41-M/01_zpracovani_mouky_technologie_pekarskych_a_cukrarskych_vyrobku","600004856","29-41-M/01","Zpracování mouky, technologie pekařských a cukrářských výrobků","SOS","SPŠ, SOŠ a G, Praha 2, Podskalská 10","Praha","kolize_katalogu","","","",""
"600005542_78-42-M/08","600005542","78-42-M/08","","LYC","Smíchovská SPŠ, gymnázium a hotelová škola","Praha","chybi_presna_shoda","","","",""
"600005321_69-41-L/52","600005321","69-41-L/52","","NAS","Metropolitní odbor. umělec. SŠ","Praha","chybi_presna_shoda","","","",""
"600004961_79-41-K/61_Vytvarna_vychova","600004961","79-41-K/61","Výtvarná výchova","GY6","Gymnázium Na Pražačce","Praha","chybi_presna_shoda","","","",""
"600005381_39-41-L/01_Mechanik_opravar_motorovych_vozidel_23_68_H_01","600005381","39-41-L/01","Mechanik opravář motorových vozidel 23-68-H/01","SOU","Akademie řemesel Praha - SŠ technická","Praha","chybi_presna_shoda","","","",""
"600004911_79-41-K/41","600004911","79-41-K/41","","GY4","Gymnázium Karla Sladkovského","Praha","chybi_presna_shoda","","","",""
"600004791_79-41-K/81","600004791","79-41-K/81","","GY8","Arcibiskupské gymnázium","Praha","chybi_presna_shoda","","","",""
"600004902_75-41-M/01","600004902","75-41-M/01","","SOS","SOŠ sociální svaté Zdislavy","Praha","chybi_presna_shoda","","","",""
"600006000_75-41-M/01","600006000","75-41-M/01","","SOS","SOŠ sociální, o.p.s.","Praha","kolize_katalogu","","","",""
"600005658_78-42-M/01","600005658","78-42-M/01","","LYC","Střední průmyslová škola dopravní, a.s.","Praha","chybi_presna_shoda","","","",""
"600005321_82-51-L/51","600005321","82-51-L/51","","NAS","Metropolitní odbor. umělec. SŠ","Praha","chybi_presna_shoda","","","",""
"600005143_79-41-K/61_s_posilenou_vyukou_nemciny","600005143","79-41-K/61","s posílenou výukou němčiny","GY6","Gymnázium","Praha","chybi_presna_shoda","","","",""
"600005381_39-41-L/02_Instalater_36_52_H_01","600005381","39-41-L/02","Instalatér 36-52-H/01","SOU","Akademie řemesel Praha - SŠ technická","Praha","chybi_presna_shoda","","","",""
"600005178_79-41-K/41_vseobecne_gymnazium","600005178","79-41-K/41","všeobecné gymnázium","GY4","Gymnázium Evolution, s.r.o.","Praha","chybi_presna_shoda","","","",""
"600004911_79-41-K/81","600004911","79-41-K/81","","GY8","Gymnázium Karla Sladkovského","Praha","chybi_presna_shoda","","","",""
"600005216_65-42-M/01","600005216","65-42-M/01","","SOS","SŠ gastronomická a hotelová s.r.o.","Praha","chybi_presna_shoda","","","",""
"600006310_63-41-M/01_podnikani","600006310","63-41-M/01","Podnikání","SOS","Soukromá SŠ a ZŠ (1. KŠPA) Praha s.r.o.","Praha","kolize_katalogu","","","",""
"600005836_78-42-M/08_Business_Satalice","600005836","78-42-M/08","Business - Satalice","LYC","Obch. akademie Praha, s.r.o.","Praha","chybi_presna_shoda","","","",""
"600005381_23-43-L/51","600005381","23-43-L/51","","NAS","Akademie řemesel Praha - SŠ technická","Praha","chybi_presna_shoda","","","",""
"600005143_79-41-K/61_s_vyukou_francouzstiny","600005143","79-41-K/61","s výukou francouzštiny","GY6","Gymnázium","Praha","chybi_presna_shoda","","","",""
"600005658_26-41-L/01_Elektromechanik_pro_zarizeni_a_pristroje_obor_L_H","600005658","26-41-L/01","Elektromechanik pro zařízení a přístroje, obor L+H","SOU","Střední průmyslová škola dopravní, a.s.","Praha","chybi_presna_shoda","","","",""
"600005267_79-41-K/41_Skola_je_dilna_lidskosti","600005267","79-41-K/41","Škola je dílna lidskosti","GY4","Klasické gymnázium Modřany a ZŠ","Praha","chybi_presna_shoda","","","",""
