"id_2026","redizo","kkov","zamereni","typ","nazev","obec","stav","id_2025_potvrzene","overil","zdroj_overeni","poznamka"
"600016510_26-41-L/01_Pocitacove_systemy_a_site_Elektrikar","600016510","26-41-L/01","Počítačové systémy a sítě (+ Elektrikář)","SOU","Střední škola polytechnická","Havířov","chybi_presna_shoda","","","",""
"600016510_26-41-L/52_Elektrotechnik_pro_provoz","600016510","26-41-L/52","Elektrotechnik pro provoz","NAS","Střední škola polytechnická","Havířov","chybi_presna_shoda","","","",""
"600016536_18-20-M/01","600016536","18-20-M/01","","SOS","Gymnázium a Obchodní akademie","Orlová","chybi_presna_shoda","","","",""
"600016536_63-41-M/02","600016536","63-41-M/02","","SOS","Gymnázium a Obchodní akademie","Orlová","chybi_presna_shoda","","","",""
"600016579_18-20-M/01_Informacni_technologie","600016579","18-20-M/01","Informační technologie","SOS","SPŠ elektrotechnická","Havířov","chybi_presna_shoda","","","",""
"600016617_63-41-M/02_Karvina_Ekonomika_a_sport","600016617","63-41-M/02","Karviná - Ekonomika a sport","SOS","Obchodní akademie a Česko - anglická ZŠ s.r.o.","Karviná","chybi_presna_shoda","","","",""
"600016617_63-41-M/02_Ostrava_Fotbalova_akademie","600016617","63-41-M/02","Ostrava - Fotbalová akademie","SOS","Obchodní akademie a Česko - anglická ZŠ s.r.o.","Karviná","chybi_presna_shoda","","","",""
"600016617_63-41-M/02_Ostrava_Trenerska_akademie","600016617","63-41-M/02","Ostrava - Trenérská akademie","SOS","Obchodní akademie a Česko - anglická ZŠ s.r.o.","Karviná","chybi_presna_shoda","","","",""
"600016617_78-42-M/02_Karvina_Ekonomicke_lyceum","600016617","78-42-M/02","Karviná - Ekonomické lyceum","LYC","Obchodní akademie a Česko - anglická ZŠ s.r.o.","Karviná","chybi_presna_shoda","","","",""
"600016625_65-42-M/01","600016625","65-42-M/01","","SOS","VOŠ DAKOL a Střední škola DAKOL, o.p.s.","Petrovice u Karviné","chybi_presna_shoda","","","",""
"600016625_75-31-M/01","600016625","75-31-M/01","","SOS","VOŠ DAKOL a Střední škola DAKOL, o.p.s.","Petrovice u Karviné","kolize_katalogu","","","",""
"600016633_64-41-L/51","600016633","64-41-L/51","","NAS","Střední odborné učiliště DAKOL, s.r.o.","Petrovice u Karviné","chybi_presna_shoda","","","",""
"600016668_64-41-L/51","600016668","64-41-L/51","","NAS","Střední škola","Bohumín","chybi_presna_shoda","","","",""
"600016749_26-41-M/01","600016749","26-41-M/01","","SOS","Gymnázium a SPŠ elektro. a informatiky","Frenštát pod Radhoštěm","chybi_presna_shoda","","","",""
"600016781_23-43-L/51","600016781","23-43-L/51","","NAS","SŠ a VOŠ Kopřivnice","Kopřivnice","chybi_presna_shoda","","","",""
"600016803_63-41-M/02_cestovni_ruch_digitalni_marketing_nebo_vypocetni_technika","600016803","63-41-M/02","cestovní ruch, digitální marketing nebo výpočetní technika","SOS","Střední škola ekon.-podnikatel., o.p.s.","Studénka","chybi_presna_shoda","","","",""
"600016803_64-41-L/51","600016803","64-41-L/51","","NAS","Střední škola ekon.-podnikatel., o.p.s.","Studénka","chybi_presna_shoda","","","",""
"600016803_78-42-M/02_Cestovni_ruch_digitalni_marketing_nebo_vypocetni_technika","600016803","78-42-M/02","Cestovní ruch, digitální marketing nebo výpočetní technika","LYC","Střední škola ekon.-podnikatel., o.p.s.","Studénka","chybi_presna_shoda","","","",""
"600016820_79-41-K/41","600016820","79-41-K/41","","GY4","Gymnázium","Nový Jičín","chybi_presna_shoda","","","",""
"600016820_79-41-K/61","600016820","79-41-K/61","","GY6","Gymnázium","Nový Jičín","chybi_presna_shoda","","","",""
"600016838_53-41-M/03","600016838","53-41-M/03","","SOS","SPgŠ a SZdŠ svaté Anežky České","Odry","chybi_presna_shoda","","","",""
"600016838_53-41-M/04","600016838","53-41-M/04","","SOS","SPgŠ a SZdŠ svaté Anežky České","Odry","chybi_presna_shoda","","","",""
"600016838_75-31-M/01","600016838","75-31-M/01","","SOS","SPgŠ a SZdŠ svaté Anežky České","Odry","chybi_presna_shoda","","","",""
"600016838_78-42-M/03","600016838","78-42-M/03","","LYC","SPgŠ a SZdŠ svaté Anežky České","Odry","chybi_presna_shoda","","","",""
"600016846_64-41-L/51","600016846","64-41-L/51","","NAS","Střední škola technická a zemědělská","Nový Jičín","chybi_presna_shoda","","","",""
"600016854_64-41-L/51","600016854","64-41-L/51","","NAS","Střední škola","Odry","chybi_presna_shoda","","","",""
"600016901_18-20-M/01_Multimedia","600016901","18-20-M/01","Multimédia ","SOS","EDUCA - SOŠ, s.r.o.","Nový Jičín","chybi_presna_shoda","","","",""
"600016901_18-20-M/01_Robotika","600016901","18-20-M/01","Robotika ","SOS","EDUCA - SOŠ, s.r.o.","Nový Jičín","chybi_presna_shoda","","","",""
"600016935_79-41-K/41_telesna_vychova","600016935","79-41-K/41","tělesná výchova","GY4","Gymnázium","Olomouc","chybi_presna_shoda","","","",""
"600016935_79-41-K/41_vseobecne_s_rozsirenou_vyukou_NJ","600016935","79-41-K/41","všeobecné s rozšířenou výukou NJ","GY4","Gymnázium","Olomouc","chybi_presna_shoda","","","",""
"600016935_79-41-K/41_vseobecne_s_rozsirenou_vyukou_SJ","600016935","79-41-K/41","všeobecné s rozšířenou výukou ŠJ","GY4","Gymnázium","Olomouc","chybi_presna_shoda","","","",""
"600016994_64-41-L/51","600016994","64-41-L/51","","NAS","SOŠ lesnická a strojírenská","Šternberk","chybi_presna_shoda","","","",""
"600017036_79-41-K/81","600017036","79-41-K/81","","GY8","CÍRKEVNÍ GYMNÁZIUM NĚMECKÉHO ŘÁDU","Olomouc","chybi_presna_shoda","","","",""
"600017061_64-41-L/51","600017061","64-41-L/51","","NAS","Střední odborná škola obchodu a služeb","Olomouc","chybi_presna_shoda","","","",""
"600017061_65-41-L/01_kombinace_s_oborem_65_51_H_01_Kuchar_cisnik","600017061","65-41-L/01","kombinace  s oborem 65-51-H/01 Kuchař - číšník","SOU","Střední odborná škola obchodu a služeb","Olomouc","chybi_presna_shoda","","","",""
"600017079_16-02-M/01","600017079","16-02-M/01","","SOS","SPŠ a SOU","Uničov","chybi_presna_shoda","","","",""
"600017079_23-41-M/01","600017079","23-41-M/01","","SOS","SPŠ a SOU","Uničov","chybi_presna_shoda","","","",""
"600017079_63-41-M/02","600017079","63-41-M/02","","SOS","SPŠ a SOU","Uničov","chybi_presna_shoda","","","",""
"600017095_23-43-L/51","600017095","23-43-L/51","","NAS","Střední škola polytechnická","Olomouc","chybi_presna_shoda","","","",""
"600017095_33-42-L/51","600017095","33-42-L/51","","NAS","Střední škola polytechnická","Olomouc","chybi_presna_shoda","","","",""
"600017095_36-44-L/51","600017095","36-44-L/51","","NAS","Střední škola polytechnická","Olomouc","chybi_presna_shoda","","","",""
"600017125_41-43-M/02_Chov_koni_a_jezdecky_sport","600017125","41-43-M/02","Chov koní a jezdecký sport","SOS","Střední škola zemědělská a zahradnická","Olomouc","chybi_presna_shoda","","","",""
